category,concept,human,llama3.1-70b,llama3.1,llama3.2,mixtral,mistral,nemo,llava,llava-img,idefics2,idefics2-img
stationery,gomma,da masticare,naturale,pneumatico,pneumatico,pneumatico,da masticare,pneumatico,pomata,"nessuna parola elencata. sono quindi in grado di fornire una descrizione generale del tema in base all'immagine perche' entità viene definita ""gomma"" in questo contesto",bianchelle,pneumatico
clothes,gonna,mini,minigonna,a pieghe,pantaloni,a tubino,"panno: un tipo di tessuto liscio e sottile, generalmente usato per vestiti",a campana,- i nomi delle entità:,verso il piscino: una descrizione che specifica che il personaggio stà camminando verso un luogo per urinare,vai,skirts
stationery,graffetta,di metallo,da ufficio,griffa,papiro,standard,da cucina,standard,graffiti,pinacca,tag,penna
clothes,guanti,da sci,da sci,da lavoro,da lavoro,da boxe,da cucina,da lavoro,di foglio,da lavoro,guaina antimicrobica,borsa
foods,insalata,iceberg,caprese,rucola,mista,greca,mista,mista,carote,lettuce,caprese,mista
furnishings/fittings,lampada,a led,abat-jour,a led,a muro,da tavolo,a olio,da tavolo,lampadario,torchiere,led,lampadina
furnishings/fittings,lampadario,di cristallo,applique,da terra,a manopola,a sospensione,torcia,a bracci,torchiere,lampada a candela,chandelier,chandelier
foods,latte,intero,di cocco,intero,fresco,di mucca,fresco,intero,frullato,skaffola,amore,pieno
foods,legume,fagioli,fagiolo,fagioli,lenticchie,fagioli,fagioli,broccoli,fagioli,fagioli,fave,fagioli
animals,leone,africano,asiatico,del congo,reale,masai,africano,di montagna,leonessa,maschio,aquilone,maschio
furniture,letto,matrimoniale,lettino,materasso,cuscino,singolo,matrimoniale,singolo,singolo,divano letto,paperback,lettino da baby
hobbies,lettore,cd,cd,di cd,digitale,dvd,libro,cd,libro,libro,libro,libro
furniture,libreria,a scaffali,biblioteca digitale,da terra,biblioteca,biblioteca,edicola,online,libro,libro,biblioteca,libro
hobbies,libro,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo
animals,lucertola,geco,iguana,verde,di terra,agama,gekkonidae,gecko,comune,gecko,gecko,gecko
clothes,maglia,a maniche corte,rasata,di seta,camicia,a coste,a reticello,a manica corta,t-shirt,pullover,jersey,pullover
animals,maiale,nero,scrofa,nero,selvatico,suino nero casertano,domestico,domestico,porchetta,porcellino,porco,pig
body parts,mano,destra,destra,palmo,dita,destra,destra,sinistra,destra,sinistra,unghie,dita
plants,margherita,crisantemo,comune,pizza margherita,pizza,di savoia,"pizza: un tipo di pizza con salsa di pomodoro, mozzarella e basilico",pizza margherita,pizza,pizza margherita,pizza,pizza
stationery,matita,hb,nera,a grafite,da disegno,meccanica,a graffito,a grafite,gomma da masticare,da scrivere,bic,colorata
kitchenware,mestolo,di legno,da minestra,di legno,bicchiere,in acciaio inossidabile,tazza,da minestra,assai grande,bocchetta,gommare d'acqua,ciotola
furnishings/fittings,metro,da sartoria,cubo,standard,a pietra,a nastro,lineare,lineare,treno,"0,5",new york subway,stradale
plants,mimosa,gialla,acacia dealbata,tigre,inverno,pudica,pudica,pudica,acacia,acacia,arboretum,mims
vehicles,motocicletta,scooter,enduro,scooter,scooter,da cross,scooter,scooter,scooter,scooter,honda,ciclo motorizzato
animals,mucca,da latte,normanna,bue,bufala,jersey,da latte,vacca,bue mucco,frullato,canna,bovino
housing buildings,muro,di mattoni,divisorio,di cinta,percorso,di cinta,di cinta,di mattoni,di pietra,parallelepipedo,cimitero,muro-portone
body parts,naso,aquilino,umano,umano,narice,umano,umano,aquilino,rettangolare,profilo del viso,triglio,abdome
vehicles,nave,da crociera,veliero,da guerra,fregate,portaerei,crociera,da crociera,da crociera,da crociera,barche,motonave
body parts,occhio,a mandorla,umano,umano,palpebra,umano,umano,umano,corneo,umano,retina,lato sinistro
plants,orchidea,bianca,aerides,dendrobium,tulipa,phalaenopsis,bianca,phalaenopsis,anania,reale,cattleya,cattleya
body parts,orecchio,a sventola,esterno,umano,orecchie di cane,umano,esterno,padiglione auricolare,umano,teste,destro,asso
furnishings/fittings,orologio,da polso,da polso,da polso,da polso,da polso,meccanico,da polso,meccanico,da polso,analogico,alarm clock
animals,orso,bruno,polare,polare,polare,polare,polare,bruno,da neve,polare,urocyon californicus,bruno
kitchenware,padella,antiaderente,wok,in ghisa,di acciaio,antiaderente,da cucina in ferro,antiaderente,lasagna,per cucinare,frying,piccola padella
hobbies,palla,da calcio,pallone da calcio,da tennis,palloncino,pallone da calcio,pallina,da calcio,tennis,palloncino,da calcio,calcio
body parts,pancia,piatta,pancetta,pancetta,cuscino,stomaco,umana,addome,stomaco,cilindro,vino,utero
foods,pane,integrale,focaccia,integrale,integrale,baguette,bianco,baguette,frullato,integrale,pugliese,focaccia
clothes,pantalone,jeans,a vita alta,corto,giubbotto,jeans,corto,jeans,jeans,jeans,zorro,pantaloni stretti
foods,pasta,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti
stationery,pastello,a cera,a olio,colorato,a mano,a olio,a tempera,a olio,spaghetti,piramide,sugo di pasta,bignolino
housing buildings,pavimento,parquet,parquet,parquet,in legno,piastrelle,parquet,piastrelle,in cemento,legno,cemento,ceramico
stationery,penna,a sfera,stilografica,stilografica,stilografica,a sfera,per scrivere,a sfera,dattilografica,di plastica,pennarella,stilo
hobbies,pennello,piatto,da barba,da pittore,da pennarelli,da trucco,da vernice,per acquerello,penna di vetro,penello nero,paletto,paletta
kitchenware,pentola,a pressione,a pressione,a pressione,a pressione,da forno,da cucina,a pressione,di legno,raccolta per latte,da cucina,per cibi
foods,pesce,tonno,sogliola,squalo,anguilla,salmone,anguilla,tonno,salmone,salmone,merluzzo,anguilla
kitchenware,piatto,fondo,antipasto,da portata,tazza,antipasto,da pranzo,fondo,tazza,di ceramica,tavola,tazza
body parts,piede,destro,umano,umano,destro,umano,destro,umano,gambe,scarpe,dito,calzature
plants,pino,silvestre,silvestre,d'aleppo,falso,silvestre,domestico,marittimo,pineta,pineta,abete,silvestre
foods,pizza,margherita,quattro formaggi,margherita,margherita,margherita,margherita,margherita,margherita,margherita,margherita,margherita
furniture,poltrona,reclinabile,sedia reclinabile,reclinabile,divano,da ufficio,a rotelle,reclinabile,divano,sedia,sofà,divano
housing buildings,porta,scorrevole,blindata,finestra,d'ingresso,blindata,d'ingresso,blindata,di legno,d’ingresso,porta-documenti,arch
furnishings/fittings,portafotografia,cornice,album da scrivania,compattatore,casco,album fotografico,portafilm,smartphone,portafoglio,portafoglio di fotografie,canon,camera
furnishings/fittings,posacenere,di vetro,da terra,da tavolo,a muro,da tavolo,tazza da caffè,da tavolo,lavastoviglie,piatti da cucina,albabagno,piattino per posacenere
stationery,quaderno,a righe,a righe,di matematica,di appunti,a spirale,rigido,ad anelli,registro,notebook,carta,notepad
furnishings/fittings,quadro,astratto,autoritratto,dipinto,d'arte,ritratto,pittorico,ritratto,analogo,matrice,bianco,cartellone
plants,quercia,leccio,roverella,bianca,albero,bianca,rossa,rossa,faggio,carro,arborea fissata,acero
hobbies,racchetta,da tennis,da tennis,da tennis,tennis,da tennis,da tennis,da tennis,da tennis,palette,tennis,da tennis
stationery,righello,squadra,a triangolo,da stoffa,telefono cellulare,in plastica,da cucina,da 30 cm,pennello a matita,1 cm,pila calorifica,registro stenografico
housing buildings,ripostiglio,sgabuzzino,armadio,armadio,cassettone,armadio a muro,armadio,armadio,armadio,armadio,carta telefonica,armadio
foods,riso,basmati,arborio,integrale,arancini,integrale,arborio,arborio,bianco,integrale,asso di riso,bianco
plants,rosa,rossa,damascena,fucsia,fiori,canina,fiorita,geranio,fiore,pennello,fiore,fiore
plants,salice,piangente,bianco,da pesca,vela,salix alba,abete bianco,piangente,bianco,bianco,australiano,abete
housing buildings,scala,a chiocciola,mobile,a chiocciola,mobile,a chiocciola,a chiocciola,a chiocciola,mobile,di accesso,diagramma bar,scalata posteriore
clothes,scarpa,da ginnastica,sandalo,da calcio,da ballo,stivaletto,sneaker,sandalo,africa,scarpe da gara,da corsa,a tacco
body parts,schiena,dritta,dorsale,colonna vertebrale,petto,colonna vertebrale,umana,dorsale,pelle,il disegno alla sinistra nella prima foto che sembra raffigurare una persona nella distanza,muscolo diaframma,collo
clothes,sciarpa,di lana,foulard,di lana,cappello,di cashmere,scarpe da neve,di seta,a bacchetta,capotenuto,sciampate,vestiti
animals,scimmia,scimpanzè,gorilla,scimpanzé,mandrillo,scimpanzé,gibbon,gorilla,scimpanzia,gorilla,orangutan,babbuino
kitchenware,scolapasta,di plastica,a ciotola,automatico,macchina a filo,in acciaio inossidabile,pasta secca,per verdure,borsa scolastica,scriptera,classica,ciliege
stationery,scolorina,a nastro,cioccolatino,scolorinamento chimico,tintura,agente di sbiancamento,acquarello,acquerello,scuola primaria,frullatore,scottere,cartridge
vehicles,scooter,50,elettrico,vespa,a due ruote,elettrico,a tre ruote,vespa,vespa,sport,harley davidson scooter,a motore
furniture,scrivania,di legno,scrittoio,per computer,cassettiera,per computer,tradizionale,da ufficio,tavolo,poltrona,desk,tavolo
furniture,sedia,a dondolo,poltrona,poltrona,poltrona,da ufficio,a rotelle,da ufficio,a rotelle,a rotelle,leggera,puffo
animals,serpente,a sonagli,boa,cobra,vipera,cobra,anaconda,reale,vipera,cobra,cobra,vipera
clothes,slip,perizoma,mutande,da donna,guanti,da donna,da notte,da uomo,pantaloni leggerimenti,pantaloni,sandalo,bikini
housing buildings,soffitto,alto,a cassettoni,a cassettoni,in legno,a cassettoni,piano,a cassettoni,interno,aperture,lamiera per il soffitto,pavimento
housing buildings,soggiorno,open space,salotto,divano,divano,open space,living room,divano,hotel,hotel,hotel,tavolo
body parts,spalla,umana,a ricotta,di vitello,artificiale,congelata,destra,umana,schienale,elena lenzi,da bocce,bianco
furnishings/fittings,specchio,da parete,a figura intera,a muro,a muro,da trucco,a due facce,da parete,spiegolo,miraggio,mirrore,sgabello
stationery,spillatrice,tascabile,automatica,macchina per capelli,aspirapolvere,da birra,elettrica,a parete,aeromezzo,spazzolaccia,aerosol,fotocopiatrice
clothes,t-shirt,a maniche corte,polo,polo,polo,a maniche corte,cotton t-shirt,a manica corta,camisetta,cappello di profumo,polo,ginny
stationery,taccuino,a righe,quaderno,di viaggio,diario,a spirale,quaderno,a spirale,penello,laptop,gioco di carte,cappoline
kitchenware,tagliere,in legno,in legno,in legno,piatto,di legno,da tavolo,da cucina,pettorile,coltello da taglio,coltello da tagliere,taglio
furnishings/fittings,tappeto,persiano,persiano,persiano,banchina,persiano,indiano,persiano,tappetino,gobone,a piatto,vimini
furniture,tavolo,di legno,da cucina,da cucina,cucina,da pranzo,da pranzo,tavolino,da cena,da cucina,da cena,da cucina
kitchenware,teglia,da forno,per pizza,di rame,per pane,da forno,da forno,per pizza,pizzeria,grecostile,capelli corti,teglie da cottura
hobbies,televisione,al plasma,plasma,smart tv,schermo,televisore al plasma,a tubo catodico,smart tv,televisore,televisore,tube television,antenna
stationery,temperino,singolo,svizzero,da cucina,mappa,da tasca,da cucina,manuale,frullatore,frullatore,pasta tagliata,stampante termica
furnishings/fittings,tenda,da campeggio,a tunnel,da bagno,da spiaggia,da sole,da letto,da campeggio,da letto,a tazze,camping,sperduta
housing buildings,terrazzo,balcone,panoramico,travertino,pavimento,pensile,antico,loggia,balcone,piano terrazzato,cemento,mosaico
body parts,testa,grande,umana,di cavallo,cranio,umana,umana,cranio,cervello,cervello,cervello,osso
housing buildings,tetto,spiovente,a due falde,in tegole,in legno,piano,verde,piano,tettoia,tettoia,da piacere,in mosaico
animals,tigre,bianca,del bengala,siberiana,asiatica,del bengala,indiana,siberiana,jaguar,africana,americana,indiana
animals,topo,di campagna,domestico,domestico,lupo,domestico,domestico,campagnolo,domestico,mouse,domestico,ratto
vehicles,traghetto,a vapore,aliscafo,da carico,a motore,ro-ro,a vela,passeggeri,ferry,ferry,a vapore,in acqua
vehicles,tram,elettrico,tranvia,a vapore,metropolitano,a due piani,tramway,a cavalli,filobus,tranvia,metrobussi,tramvia
vehicles,trattore,standard,agricolo,agricolo,agricolo,agricolo,agricolo,stradale,bulldozer,bulldozer,fiat,meccanico
vehicles,treno,regionale,metropolitana,merci,a gas,a vapore,locomotiva,locomotiva,locomotiva,locomotiva,intercity,locomotiva
plants,tulipano,rosso,darwin hybrido,tulipa gesneriana,* rosa,tulipa clusiana,rosso,nero,di lampadusa,rosso,tulipan,tulipani rosa
plants,ulivo,frantoio,leccino,domestico,frutto,ulmus minor,albero di ulivo,olivo,olivo,olivo,olivo americano,albero
foods,uovo,di gallina,di gallina,di quaglia,di gallina,di gallina,di gallina,di gallina,di gallina,codice,ovo,uovo
furnishings/fittings,vaso,di ceramica,di fiori,da fiori,bicchiere,da fiori,tazza,da fiori,ciotola,vase,"bicchi eric ripert, restauratore noto, ha dato il contributo prezioso di presentare la sua raccolta stampa del vino per la bicchi wine dinner",vase
foods,verdura,zucchina,spinaci,spinaci,carote,lattuga,carote,broccoli,broccoli,pomodoro,pomodoro,fichi
hobbies,videogioco,di sport,avventura,fortnite,action,azione,action game,azione,console,playstation,giant bomb,console
furnishings/fittings,vite,a testa tonda,a testa piatta,per ruota,da vino,a testa esagonale,d'approggio,a testa esagonale,d'arancia,uvietta,uva,per fissare
